nome_busca,nome_real,preco,categoria
coffee package,Cafe Pilao Tradicional 500g,22.9,Mercearia
mayonnaise jar,Maionese Vigor 500g,14.9,Mercearia
rice bag,Arroz Tio Joao 5kg,28.9,Mercearia
bean bag,Feijao Carioca Kicaldo 1kg,8.99,Mercearia
oil bottle,Oleo de Soja Soya 900ml,7.49,Mercearia
pasta package,Macarrao Espaguete Adria 500g,4.99,Mercearia
sugar bag,Acucar Uniao 1kg,5.2,Mercearia
milk carton,Leite Integral Piracanjuba 1L,5.89,Laticinios
flour bag,Farinha de Trigo Dona Benta 1kg,6.5,Mercearia
salt bag,Sal Refinado Cisne 1kg,3.2,Mercearia
tomato sauce,Molho de Tomate Pomarola 300g,3.99,Mercearia
biscuit package,Biscoito Cream Cracker Bauducco 400g,6.9,Biscoitos
sardine can,Sardinha Gomes da Costa 125g,5.49,Enlatados
corn can,Milho Verde Predilecta 200g,4.2,Enlatados
coffee package,Cafe 3 Coracoes 500g,24.5,Mercearia
soap bar,Sabonete Dove 90g,3.8,Higiene
detergent bottle,Detergente Ype 500ml,2.99,Limpeza
toilet paper,Papel Higienico Neve 12 rolos,18.9,Higiene
coffee package,Cafe Pilao Extra Forte 500g,23.9,Mercearia
mayonnaise jar,Maionese Hellmanns 500g,16.9,Mercearia
